DESIGNATION,RA,DEC
HD 179688,288.5001739,-14.03913567
HD 179775,289.1529237,-52.4379461
HD 179784,288.3140803,15.03561799
HD 179791,288.4334948,5.515559619
HD 179799,288.5669261,-8.719216223
HD 179886,289.0905733,-45.46598439
HD 17993,44.12397821,62.60958027
HD 179958,288.019488,49.85850905
HD 179959,288.0654743,47.37499227
HD 179987,288.5761214,11.71275837
HD 1801,5.370197025,-77.42692014
HD 18012,43.40908879,1.968647333
HD 180134,289.5409399,-53.38744982
HD 180242,288.7612163,20.20307819
HD 180262,288.8337147,15.08360406
HD 180314,288.7094478,31.86044189
HD 180377,288.8889587,18.51639711
HD 180450,288.8537583,30.52626625
HD 18046,43.32590668,-22.09084496
HD 18050,42.18502542,-73.84137639
HD 180555,289.1116423,14.54464057
HD 180614,288.9831648,31.03508671
HD 180656,288.5855567,55.94045586
HD 180756,288.8298563,50.07112861
HD 180782,289.4507458,2.031610967
HD 180810,289.1812053,31.13943414
HD 181019,291.0225938,-68.37109149
HD 181022,289.2880403,39.02873288
HD 181041,290.2519276,-45.37395532
HD 181069,289.333298,39.1209986
HD 181109,290.1090782,-31.81756216
HD 18120,42.89959714,-63.54078368
HD 18121,42.71767672,-67.5223785
HD 181255,290.0116853,-6.628071537
HD 181295,290.6578082,-51.23131954
HD 181321,290.3744667,-34.98380882
HD 181330,289.7736578,27.26127064
HD 181351,291.0518534,-62.99805795
HD 18137,44.49383923,64.41918862
HD 181420,290.1131212,-1.309531564
HD 18145,43.6965233,-0.048081607
HD 181466,293.7491863,-81.75290969
HD 181470,289.7548434,37.44542949
HD 181475,290.2012928,-4.502528131
HD 181517,290.9039215,-53.94615892
HD 18153,44.21107553,51.26116426
HD 18155,44.13873048,47.16400886
HD 181597,289.6579479,49.56965248
HD 181609,290.2784863,-1.176482606
HD 181636,290.2640897,5.11124694
HD 1817,5.589168193,-50.99227088
HD 181788,290.735802,-29.06466942
HD 181828,290.1377662,35.18597045
HD 18185,43.07986428,-62.90956673
HD 181907,290.5900188,-0.25244794
HD 181925,291.0896475,-43.72208106
HD 181960,289.9019506,54.37585004
HD 181980,291.2915072,-51.10071909
HD 18202,44.06670764,29.16397825
HD 182190,290.066991,57.64516936
HD 182215,291.4825772,-49.84328586
HD 182272,290.6389968,33.51802308
HD 182308,289.9422362,64.3908449
HD 182354,290.6703604,37.58126536
HD 182394,291.6732167,-46.57893644
HD 182422,290.9455581,20.26436854
HD 182429,291.2837515,-13.43912891
HD 182440,290.3559558,57.76698647
HD 182477,291.3402451,-13.89682586
HD 182481,291.4307452,-22.45189405
HD 182491,291.1146532,12.28290411
HD 182509,291.9504468,-54.32522824
HD 182567,290.9917931,32.72387621
HD 182618,291.0939166,28.08754379
HD 18262,44.05766182,8.3811647
HD 182635,291.0252538,36.45244277
HD 182648,291.6152056,-21.24604911
HD 18265,43.52694145,-50.8713682
HD 182694,290.9855104,43.38804352
HD 182709,292.7959214,-68.43398221
HD 182893,292.4693934,-55.44204289
HD 182896,291.3256095,37.2450688
HD 18290,43.87363227,-25.30494169
HD 182900,291.6006232,13.02406737
HD 18292,43.22759768,-65.4553542
HD 182955,291.6195288,19.89128381
HD 182998,292.0219524,-18.35934506
HD 1831,5.739062691,38.75429287
HD 183124,291.4856807,44.93039009
HD 183144,291.8913098,14.28245988
HD 18325,43.58331905,-55.87894371
HD 18325,43.58331905,-55.87894371
HD 183275,292.4675562,-26.98581824
HD 183312,292.5626863,-32.09156824
HD 18339,44.50966399,38.61485161
HD 183399,292.057738,29.45016215
HD 183492,292.3425374,14.59591307
HD 183552,293.2245353,-53.18564808
HD 183577,293.0574001,-44.54618234
HD 183589,292.5439037,2.904069366
HD 183611,291.6107217,62.55732908
HD 183632,292.7424798,-14.56321257
HD 183681,292.4698302,22.70663369
HD 183793,292.7717063,2.011709499
HD 183886,292.5722032,33.72834615
HD 18391,44.95301251,57.66323651
HD 18392,44.70594795,43.36432367
HD 183925,293.2631973,-30.36291314
HD 18393,44.57834044,32.46114257
HD 183986,292.6951314,36.22846263
HD 184010,292.8401438,26.61728306
HD 184013,293.0028137,7.487688104
HD 184102,290.4183325,79.60269206
HD 184146,288.7836799,83.46277996
HD 184192,293.9882971,-53.00829153
HD 18423,43.58666186,-64.43559968
HD 184268,293.6414413,-23.85886118
HD 184293,292.8303259,50.30690913
HD 18438,46.53180914,79.41858143
HD 184423,292.8688839,55.26539451
HD 18446,44.20181253,-35.37778266
HD 184467,292.7788672,58.58423547
HD 184585,294.6083923,-57.98361102
HD 184586,294.9678145,-66.68568673
HD 184590,293.5587181,25.35243856
HD 18466,44.30368249,-29.85530054
HD 184722,293.781684,19.00490599
HD 18474,44.95753529,47.22080145
HD 184741,293.8634708,15.61058412
HD 18482,44.91624767,41.03273156
HD 184853,294.0525839,6.007365153
HD 184875,293.6719378,42.41237254
HD 184889,294.2112941,-10.15757925
HD 184910,294.048575,12.1615587
HD 184936,293.2919819,60.15871423
HD 184944,294.0654214,14.39088774
HD 184958,292.7509639,70.98949319
HD 184961,294.0348138,22.58573062
HD 184996,295.4054351,-65.85473343
HD 185075,295.0785788,-54.41784074
HD 18511,44.55233788,-12.0058731
HD 185114,293.7551452,52.50186207
HD 185118,294.0310597,35.21365034
HD 18520,44.80294839,21.3403956
HD 185225,294.3477896,18.9764606
HD 185264,293.9830882,50.23878033
HD 185268,294.2900795,29.33367998
HD 185286,294.1350755,43.70609332
HD 185330,294.2360663,38.38381523
HD 18537,45.21775246,52.35162301
HD 185394,293.6932302,63.4341581
HD 185396,294.1566145,48.51620069
HD 18543,44.67521167,-2.783178951
HD 185435,294.4200277,35.02249044
HD 185436,294.5740913,20.78324374
HD 18546,44.38596046,-38.1908737
HD 1855,5.716158976,-37.40344015
HD 185526,294.5061098,35.25881556
HD 185634,295.6395131,-50.66760236
HD 185639,295.0887575,-5.447557893
HD 185657,294.4865111,49.28503938
HD 185825,295.2814491,-3.919526874
HD 185837,294.9371745,33.97897348
HD 185955,294.8939786,45.95754416
HD 186021,295.311037,22.45275777
HD 186121,295.1714688,43.07782313
HD 186133,296.1155951,-41.60916355
HD 186154,299.0076813,-81.34984513
HD 186155,295.209633,45.52547337
HD 186178,295.4191969,30.80870464
HD 186185,295.8904548,-15.47092727
HD 186219,297.3555374,-72.5033098
HD 18623,44.56805451,-40.30462236
HD 186251,296.7743051,-62.45396042
HD 186307,295.4899841,40.25430332
HD 186310,295.7021005,22.8515482
HD 18634,44.90164921,-7.180139275
HD 186340,295.0550197,60.50707258
HD 186377,295.685869,32.42673918
HD 18641,45.29730527,40.79647912
HD 186426,294.7927451,68.65263696
HD 186440,295.7900078,30.67791025
HD 186442,296.007508,9.517631583
HD 186461,296.2262508,-10.57315916
HD 18650,44.77706934,-28.90744825
HD 186500,296.505096,-31.90865768
HD 186506,295.7948958,38.67171524
HD 186548,296.1492562,13.23032027
HD 186568,295.9644158,34.16274243
HD 186584,297.4725725,-66.81302186
HD 18660,44.75567518,-34.18910668
HD 186619,295.9380113,41.77315919
HD 186756,297.2296429,-52.88832545
HD 186760,295.811152,58.01637052
HD 186815,295.914595,57.04282445
HD 186837,297.5906836,-61.0610934
HD 186901,296.415253,36.09107068
HD 186927,296.4640444,35.0127242
HD 186938,296.9999239,-20.95761418
HD 186957,297.6868834,-59.19372281
HD 18700,45.1842822,10.8702442
HD 187038,296.6456757,32.88856697
HD 187059,296.9423902,5.781993405
HD 187071,296.4649049,46.48553366
HD 187075,296.8272657,21.77157036
HD 187086,297.5586437,-47.55743757
HD 18715,45.37121774,32.41265392
HD 187193,296.9525879,25.38396188
HD 187195,297.2593165,-10.8708284
HD 187203,297.1271373,10.69406515
HD 187217,296.6365633,50.01025744
HD 187235,296.8657781,38.40761132
HD 187238,297.0493288,22.76285198
HD 187259,297.175325,11.8158518
HD 187260,297.1757214,11.81574548
HD 187275,296.6028876,54.40561567
HD 187284,297.2222978,11.68511867
HD 187340,296.0768546,69.33696276
HD 18735,44.90964432,-32.50715535
HD 187372,296.8616366,47.90740592
HD 187410,297.5407624,-10.00710185
HD 187420,298.1573158,-54.9710141
HD 187421,298.1632014,-54.97643434
HD 187518,297.9424329,-37.33663456
HD 187596,297.5632962,17.70990652
HD 187614,297.4826794,27.0852024
HD 187614,270.7871753,48.46431687
HD 187638,297.3646382,38.7101029
HD 187653,298.6684317,-61.17074559
HD 187697,297.9379195,-13.03281696
HD 187748,297.0645119,59.42341979
HD 187753,297.8239401,9.629799158
HD 187775,298.0309811,-10.89268873
HD 18778,47.92646891,81.47071247
HD 187793,297.0374874,61.41121422
HD 18787,46.8960038,75.8037011
HD 18795,44.78454553,-55.56552612
HD 187961,298.0649135,10.35153635
HD 187977,298.8695738,-53.94727559
HD 188037,298.1254722,22.45398081
HD 188053,297.3579796,63.20385644
HD 188058,298.0652774,28.2517756
HD 188097,299.6729029,-69.16440091
HD 188107,298.3442465,4.400370736
HD 188149,298.0684567,36.43231133
HD 188158,298.7711796,-33.04623164
HD 188161,299.2403322,-57.92581296
HD 188162,299.2764841,-58.90141748
HD 188164,299.7212127,-68.76290892
HD 188229,300.2337618,-74.01267929
HD 188252,298.0298204,47.9317527
HD 18829,44.89391616,-53.90849053
HD 18832,45.46807231,5.336219194
HD 188339,299.0442347,-38.32663906
HD 188385,298.6676273,7.140352669
HD 188405,298.8313558,-6.735059825
HD 188484,298.5405053,33.78111839
HD 188485,298.6295836,24.3193811
HD 188507,298.6849253,22.42919211
HD 188642,299.4226091,-38.05928734
HD 188650,298.7011102,36.99571407
HD 188772,298.1986983,64.17594457
HD 188793,298.3979965,59.70890491
HD 188844,299.3531281,-6.698566198
HD 188853,298.7717341,47.54104869
HD 188875,298.9192377,40.1729169
HD 188895,299.157389,23.88856277
HD 189063,298.6831355,60.82359489
HD 189066,299.1839485,36.25059762
HD 189080,300.1050013,-49.35095518
HD 189084,298.7085475,60.61496032
HD 189108,299.3486231,28.69384136
HD 189114,299.6355456,-3.553734173
HD 189124,300.4366215,-59.37600437
HD 189127,298.8421092,58.24985587
HD 189178,299.3078214,40.36782651
HD 189186,299.6359973,7.920757216
HD 189188,299.6825102,1.666316819
HD 189253,299.1882885,50.90256786
HD 189276,298.9806696,58.84587533
HD 18928,45.87598324,28.26984941
HD 189296,299.0796234,56.68708416
HD 189322,299.8444716,1.377975951
HD 189337,299.800262,11.30557565
HD 189340,299.9459045,-9.960032451
HD 189395,299.6584527,30.98366926
HD 189408,300.7562529,-58.46103813
HD 189475,299.7878811,27.51266737
HD 189533,300.0885755,3.331863754
HD 189563,300.650923,-45.19601997
HD 189576,300.0345626,17.61076214
HD 18964,46.26522315,52.62825062
HD 189671,300.064004,26.18785187
HD 189754,300.2168336,20.00537243
HD 189831,300.8897984,-37.94106699
HD 189854,300.9001697,-37.5289681
HD 189900,299.619695,63.53400583
HD 18991,46.41750135,56.0688641
HD 189942,300.3140088,37.09922654
HD 189944,300.43633,24.8004082
HD 189985,300.5826764,13.90923546
HD 190050,300.6721023,12.35873118
HD 190056,301.0818841,-32.05636139
HD 190057,301.2827993,-46.09706785
HD 190095,300.8025199,4.730296053
HD 190149,300.4383727,44.11898305
HD 190211,300.8183847,18.50090689
HD 190222,302.0851877,-66.35472081
HD 190227,300.7034451,31.95888729
HD 190252,299.6749161,70.36720946
HD 190322,300.9115882,22.94095682
HD 190361,300.9659841,21.05040039
HD 190403,300.9312084,29.98944222
HD 190422,301.8963526,-55.01585674
HD 190466,300.9144949,38.32724787
HD 190580,302.0396165,-52.57788289
HD 19065,46.82902934,64.05762961
HD 19066,46.33739816,40.58215897
HD 190664,301.5511275,-4.078396214
HD 190727,301.8492003,-29.72070476
HD 190781,301.1200639,48.22966474
HD 19080,46.16928474,15.85561412
HD 190879,302.26633,-47.06821428
HD 190936,302.3425709,-47.17091667
HD 190964,301.2784019,51.83953486
HD 190969,301.7577013,13.3242959
HD 191045,301.6043863,39.09881668
HD 191049,302.1218118,-15.03257341
HD 191096,301.339546,56.34175648
HD 191104A,301.9600941,9.399971447
HD 191174,301.1855151,63.8903669
HD 191190,302.6632212,-46.73533283
HD 191220,306.2297099,-83.3105918
HD 191226,301.8605616,36.56775946
HD 191243,301.9226715,34.42288124
HD 191263,302.1595081,10.72586029
HD 191329,301.797833,50.22954872
HD 191349,302.8158459,-43.66230595
HD 191372,301.2223145,68.02711705
HD 191382,302.2838514,16.90670355
HD 191533,302.5321688,8.44264083
HD 191603,303.6117213,-63.415652
HD 1917,5.970596276,60.96105652
HD 191732,303.3848974,-47.71343084
HD 191769,302.835818,8.717107505
HD 191814,302.7648688,21.13471846
HD 191829,303.5794578,-52.44600646
HD 191877,302.8375454,21.87488314
HD 191892,302.3430622,56.02674341
HD 191921,302.9570271,15.87552565
HD 191937,304.6124528,-72.97950212
HD 191945,302.8577675,29.16686937
HD 191994,300.6107526,79.68097704
HD 191998,302.6404608,48.23116917
HD 19210,46.29735559,-8.274140125
HD 19215,45.98021474,-43.89792101
HD 192168,303.2628426,11.850565
HD 192287,303.3233986,25.24156914
HD 192289,303.394889,16.26520483
HD 1923,5.842417177,-29.84742652
HD 192389,303.7787171,-13.38405542
HD 192394,304.0619861,-41.47858314
HD 19243,47.22574462,62.38459423
HD 192433,303.9610517,-30.00524808
HD 192486,304.1102063,-35.19822526
HD 192531,304.7624121,-63.2310707
HD 192535,303.4283683,43.37902656
HD 19256,47.1084353,57.0124395
HD 192661,303.6650868,36.7520688
HD 192677,303.3640395,55.13124933
HD 19268,47.01621901,52.21340752
HD 192685,303.8162685,25.59193777
HD 192689,303.9732024,7.670388932
HD 19270,46.59869056,13.1869742
HD 19275,47.98468874,74.39327248
HD 192781,303.3654263,60.64081835
HD 192787,303.8488636,33.7285654
HD 192827,304.7333426,-47.71079642
HD 192850,304.0863404,22.28726709
HD 192886,304.8256528,-47.58110449
HD 192887,305.3661654,-66.74967471
HD 192895,304.2519033,8.963234488
HD 192967,303.8065727,54.14643185
HD 192982,303.7954392,55.65637944
HD 192983,303.930302,50.23297062
HD 192985,304.0026276,45.57928129
HD 193002,305.1347124,-55.05103231
HD 193092,304.2303702,40.3650664
HD 193094,304.3813241,29.14765882
HD 193194,305.0606711,-34.5855521
HD 19321,48.93825544,80.13009081
HD 193217,304.3710805,42.7220597
HD 193222,304.6461145,17.36216228
HD 193287,304.204442,56.04030447
HD 193335,305.1186545,-19.64737362
HD 193347,304.7111241,26.99117015
HD 193373,304.8719941,13.21668327
HD 193429,305.1085761,-6.3621307
HD 193469,304.7397223,39.00415019
HD 193472,305.0007682,13.54806624
HD 193490,305.0414181,11.46932073
HD 193533,303.7354386,72.60555873
HD 193542,305.2547632,-10.98270837
HD 193556,305.0854963,14.56928066
HD 193579,305.0892741,17.79278464
HD 19366,46.63914946,-10.25202493
HD 193702,305.0634124,39.40310919
HD 193721,308.323763,-80.96495882
HD 193818,305.3835448,22.84879298
HD 193896,305.753402,-9.654783583
HD 193944,305.1276872,53.59568017
HD 193968,305.6873848,12.4432744
HD 194006,303.3298378,79.65142094
HD 194012,305.7185678,14.55106584
HD 194069,305.5127511,41.13211582
HD 194097,305.6553996,31.26486332
HD 194116,305.8628376,10.36319416
HD 194152,305.5225207,45.79516621
HD 194184,306.4490837,-40.79657162
HD 194193,305.6887345,41.02579471
HD 194215,306.3618359,-28.66324518
HD 194244,306.1562772,1.068426778
HD 194298,305.2980691,63.98018141
HD 194299,305.3396248,63.43177198
HD 194337,306.1487956,16.14364693
HD 19439,47.75255461,64.89619574
HD 194526,306.4338991,10.0558294
HD 194577,306.4189096,21.40960906
HD 194578,306.5067731,13.91148917
HD 194579,306.5640331,2.957144378
HD 194612,309.5775734,-81.2892309
HD 194616,306.5050116,19.86557061
HD 194668,306.134924,53.55198386
HD 194688,306.5965034,17.31553532
HD 194747,307.1368797,-34.40980724
HD 194783,307.1947812,-35.59595917
HD 194841,306.8091308,20.47645315
HD 194848,307.1841626,-23.98409435
HD 194882,306.2708823,59.60005487
HD 194916,307.1110005,-9.370346023
HD 194917,307.1382298,-11.79628564
HD 194918,307.181662,-15.74149768
HD 194937,307.0315977,8.437523196
HD 194951,306.7823981,34.3290617
HD 194953,307.0701527,2.937207366
HD 194959,307.2458134,-17.4348636
HD 194960,307.2530655,-17.87593062
HD 195006,307.3806353,-22.39170138
HD 195066,306.5979196,56.6387226
HD 195178,307.1188865,37.78929844
HD 195190,308.775602,-71.18872643
HD 195206,307.7367822,-29.11269188
HD 195274,307.4804787,10.30200772
HD 195307,307.1278236,48.91883899
HD 195330,307.7677781,-15.05639706
HD 19534,48.57175963,74.24303295
HD 195402,308.9658894,-69.61077934
HD 19545,46.9622058,-27.83123302
HD 195479,307.7427661,20.60641005
HD 19549,47.33413497,20.76106867
HD 195506,307.5002904,45.92923125
HD 195535,308.0213058,-5.242291797
HD 195549,308.2182017,-24.94402645
HD 195554,307.3630014,56.06821512
HD 195608,307.5835051,49.77985292
HD 195659,308.5691631,-43.44824278
HD 195690,307.9010594,34.33013666
HD 195693,307.9927679,25.8048938
HD 195714,308.037734,22.82431546
HD 195767,308.3564458,-6.21936408
HD 195772,309.1598497,-63.12132366
HD 195814,308.7312553,-38.08994481
HD 195820,307.8384287,52.30980005
HD 195838,308.5490446,-13.72077954
HD 195843,308.6975398,-30.47356596
HD 195849,309.7342295,-71.09445838
HD 195902,308.9491295,-44.33750029
HD 195909,308.4996924,4.898619647
HD 195922,308.4737748,10.05978209
HD 195964,307.9436165,56.77982147
HD 195993,308.5053015,18.18546454
HD 19600,47.53691909,27.81954012
HD 196035,308.5416291,20.985169
HD 196078,308.8847944,-16.52600412
HD 196088,308.2460493,49.84121017
HD 196134,308.452296,41.77236126
HD 196142,307.5029393,72.53159516
HD 19615,48.78132632,73.86801084
HD 196182,308.8735504,6.947090934
HD 196222,309.068612,-12.38118075
HD 196229,308.0565039,65.39929705
HD 196241,308.6500113,41.0984801
HD 196277,309.4331022,-41.22786098
HD 196317,309.9660034,-62.908135
HD 196345,309.066283,16.81479257
HD 196360,308.8251182,41.89024937
HD 19637,47.61271728,26.89653802
HD 196379,308.7099973,51.85420069
HD 196385,309.4679796,-25.10928894
HD 196565,306.7037302,81.43423198
HD 196629,309.3861115,31.52177083
HD 196642,309.3483416,38.32847274
HD 196643,309.3444355,38.09850046
HD 196737,310.0827333,-33.43169287
HD 196748,310.2318449,-42.39664979
HD 196753,309.6458175,23.68047321
HD 196768,306.2640872,83.18281888
HD 196770,309.302706,52.97299442
HD 196775,309.7706962,15.8381296
HD 196815,310.1496421,-26.64527266
HD 196821,309.7945141,21.8175115
HD 19683,48.13320308,56.14905167
HD 196838,310.2183671,-28.54930994
HD 196848,308.8712616,69.67948491
HD 196852,309.7478439,30.33398025
HD 196857,310.1351821,-16.12384231
HD 196865,309.5709526,48.07021987
HD 196870,310.0521317,-2.655464345
HD 196917,310.3491471,-31.59855487
HD 196947,310.3511333,-26.00002105
HD 19698,47.66178888,11.87251569
HD 197093,310.7207804,-39.55886849
HD 197101,309.750712,56.00466138
HD 197139,310.0127325,43.45862368
HD 19723,47.70497389,10.00595375
HD 19735,48.11057468,47.72550071
HD 197359,311.6940909,-64.90973245
HD 19736,48.03993537,42.3758251
HD 197364,310.8949362,-11.641529
HD 197392,310.4854495,41.71687989
HD 197497,311.1387317,-14.18587733
HD 197508,307.2631883,83.62533736
HD 197514,310.8430146,27.25135899
HD 197515,310.8559235,25.6023366
HD 197540,311.3046586,-27.24724795
HD 197544,311.6130315,-50.80560732
HD 19755,46.24840675,-74.31955304
HD 19760,47.73096562,2.315723109
HD 197630,311.5839052,-39.19938725
HD 197649,311.577748,-36.12038343
HD 197734,310.6653195,60.60123187
HD 197748,311.8486245,-45.85453967
HD 197814,311.5050484,-0.34043596
HD 197850,311.1519036,47.29686287
HD 197900,312.0774117,-44.19707263
HD 198070,311.9496668,3.306508711
HD 198160,312.911244,-62.42953887
HD 198161,312.9126892,-62.42942593
HD 198174,312.3234361,-25.78133581
HD 198181,311.5877495,52.99483668
HD 198208,312.3356017,-18.03600833
HD 198236,311.1372445,69.75165152
HD 198237,311.8365541,45.57983483
HD 19826,47.64769157,-23.73842723
HD 198265,312.0740041,28.24879399
HD 198345,311.9553026,47.83178679
HD 198356,312.6964128,-32.05488872
HD 198357,312.7531171,-37.91340838
HD 198387,311.9713286,52.40645425
HD 198404,312.4964129,5.544584805
HD 198405,312.4947349,2.433775467
HD 198437,312.3003252,35.56343441
HD 19845,48.34957767,48.17687668
HD 19855,50.87915303,82.14980003
HD 198611,312.3879019,50.78310476
HD 198624,312.4069092,50.12710963
HD 198692,312.7334818,34.75406158
HD 198694,313.1295546,-13.20293908
HD 198704,312.9832316,8.772660225
HD 198716,313.417691,-39.8102949
HD 198732,313.2552356,-23.7834806
HD 198751,313.3541797,-30.7190329
HD 198758,312.957751,23.33145719
HD 198766,313.6463581,-50.72741297
HD 198794,312.7377009,48.03064636
HD 198820,313.001621,32.84886208
HD 198835,313.1246375,18.02726761
HD 198933,313.2231983,24.91455135
HD 198951,313.5127459,-10.92432425
HD 198976,313.2806709,29.64881548
HD 199000,313.940988,-44.57578245
HD 199098,313.3274305,45.18166206
HD 199101,313.4744358,33.43804459
HD 19925,48.29410407,31.06895627
HD 199251,313.74051,33.76397387
HD 199320,314.0223755,9.26017903
HD 199342,314.9211756,-62.87728116
HD 199375,314.0091512,27.57557477
HD 199395,313.8602607,43.36714944
HD 199399,314.1283977,14.68323902
HD 19940,46.95346882,-69.26487185
HD 199437,311.8886154,80.55209461
HD 199442,314.2941265,0.463500931
HD 199443,314.4195929,-16.03153242
HD 199475,315.3665377,-68.20956861
HD 19948,47.61365435,-48.73426763
HD 199512,314.0780673,42.76863932
HD 199560,314.4536436,4.195485898
HD 199597,314.3045894,35.31175915
HD 199611,314.1064044,50.72849765
HD 199612,314.1079942,49.19588871
HD 199623,315.0888946,-51.26472646
HD 199642,315.1810198,-53.73916843
HD 199661,314.0709208,56.88753567
HD 199684,314.9992836,-36.12989219
HD 199719,314.5780576,23.04633046
HD 199763,314.565187,30.39603541
HD 19978,50.08366448,77.73446503
HD 199810,315.1687988,-35.2921889
HD 199838,314.7647587,22.35050851
HD 199845,315.2217488,-36.05368383
HD 199870,314.5817371,44.4720237
HD 199871,314.6136526,41.35777118
HD 199892,314.6290458,41.93992651
HD 199941,314.9621064,16.8242987
HD 199942,315.0168206,7.516330597
HD 199956,314.7319562,44.06052464
HD 200011,315.5534679,-43.00264591
HD 200030,314.8526794,42.32448822
HD 200039,313.6853733,75.92576541
HD 200044,315.1152951,19.32931602
HD 200052,315.4387603,-26.88110213
HD 200073,315.6140805,-38.53173006
HD 200077,314.9816639,40.25975549
HD 200099,314.3019761,69.05740346
HD 200102,314.9637482,44.99645275
HD 200167,314.8711994,55.9400058
HD 200205,314.856177,59.43864858
HD 200206,314.9568263,55.21802685
HD 200245,315.7926494,-27.73175863
HD 200249,316.0590382,-50.4354228
HD 200251,314.0522418,75.72003744
HD 200253,315.3035767,36.02598891
HD 200266,317.1977525,-76.21254723
HD 200326,315.6791371,3.350163454
HD 20037,47.66355987,-57.80980615
HD 200375,315.7624427,1.5316958
HD 200393,315.696536,15.96710331
HD 20041,48.94986323,57.14061876
HD 20043,48.47880007,18.97337549
HD 200430,315.7575955,14.73004844
HD 200451,315.6718185,26.50802654
HD 200465,315.5873365,39.50903324
HD 200510,315.7294647,32.3498712
HD 200525,317.3502274,-73.17454548
HD 200546,315.83289,27.33142051
HD 200576,315.6463376,48.03071466
HD 200577,315.7702626,38.65738706
HD 20063,48.73619573,42.50365499
HD 200661,316.1735615,2.942300047
HD 20069,48.25099372,-20.02666697
HD 200723,315.967218,41.6279349
HD 200750,316.5998701,-34.6288295
HD 200751,317.1361721,-63.92824513
HD 200753,315.9308588,46.86287957
HD 20078,48.57176861,22.95373456
HD 200817,315.9487602,53.28602986
HD 20084,53.08717156,84.91043352
HD 200868,316.6726029,-20.18034724
HD 200877,316.452632,15.32686183
HD 200887,316.93575,-45.37948851
HD 200924,317.8377314,-72.54446962
HD 200932,316.6392936,-0.105004463
HD 201013,316.8747262,-19.08852344
HD 201051,316.5980516,26.92427479
HD 201057,316.9363617,-17.45611034
HD 201066,316.8411244,-0.765042919
HD 201159,316.9550936,1.1535546
HD 201196,316.8904074,15.65840136
HD 20123,49.05083153,50.93758671
HD 201242,317.3431825,-36.70647904
HD 201245,317.4336312,-44.20984038
HD 201298,317.1171976,6.989370672
HD 201322,317.2389158,-5.582100223
HD 201335,317.354615,-16.61571676
HD 201343,316.5022466,62.92174832
HD 201390,317.5248392,-29.72107914
HD 20144,48.25619911,-35.94365926
HD 20149,48.83508717,30.55670065
HD 201507,317.4929861,2.943746684
HD 20162,49.01876476,45.34598827
HD 201636,316.5963997,71.43128405
HD 20176,48.40818276,-29.80414525
HD 201772,318.2638538,-39.4254236
HD 201789,318.3727571,-47.55069543
HD 201834,317.5650564,53.56308466
HD 201836,317.628967,47.69222567
HD 201837,317.6200734,47.65476984
HD 201852,318.329191,-36.42351435
HD 201892,318.0510983,11.78144276
HD 20193,48.94637335,32.85680056
HD 201939,317.9872095,30.61925798
HD 20196,48.65060191,-2.332743336
HD 202026,318.7586618,-49.09759076
HD 202027,318.9215488,-57.63141749
HD 202103,318.9414016,-53.26315022
HD 202135,318.8105439,-40.5060338
HD 202240,318.3601035,36.63326525
HD 202259,318.6545283,0.092196671
HD 202261,318.7775934,-17.34526464
HD 202287,318.9450953,-36.21073783
HD 202299,319.5022216,-64.68170845
HD 202307,318.7657406,-5.552065785
HD 202314,318.5428642,29.90095977
HD 20236,49.13747469,38.63367685
HD 202407,318.9984414,-13.20298625
HD 202418,323.0143076,-84.81020027
HD 202457,319.6890979,-61.35467817
HD 202501,319.4687822,-48.7186543
HD 202540,319.3568782,-30.74571392
HD 20255,50.26396112,73.69907918
HD 202554,319.1645452,-1.607835825
HD 202583,318.6513773,56.88340884
HD 202593,319.6139271,-47.00255015
HD 202654,318.9049296,47.97398321
HD 202710,319.0714483,44.23827157
HD 202719,318.4463747,70.02754849
HD 202720,319.1234094,42.25172524
HD 202725,319.6087791,-20.33560194
HD 202729,319.8355497,-47.05475868
HD 202731,320.5675445,-71.57136609
HD 202773,319.7246709,-28.76611241
HD 202774,319.7628883,-32.35624603
HD 202862,319.3466487,42.68357744
HD 20290,48.88237314,-8.770148525
HD 202923,319.2588377,53.99786766
HD 20293,48.75108746,-26.1005556
HD 202940,319.9371887,-26.35444944
HD 202951,319.716877,11.20345066
HD 202975,319.6646561,24.65939217
HD 202987,319.3094969,55.79806187
HD 203,1.709161583,-23.10775047
HD 203010,320.3191531,-49.93896615
HD 203096,319.7305089,41.04049997
HD 203137,319.6893255,50.06933752
HD 203140,320.0171108,12.9628638
HD 20319A,49.00359658,-5.918712322
HD 203206,320.058676,22.02620818
HD 203212,321.325455,-71.79903409
HD 203242,320.4546378,-29.1661726
HD 203245,319.8698921,49.51030403
HD 203320,319.9199357,53.05810547
HD 20336,49.99708098,65.65222617
HD 203364,320.4944584,-9.328172434
HD 203399,318.9272998,77.01236216
HD 203416,320.0789604,49.35240072
HD 203439,320.341479,32.61267619
HD 203440,320.5072593,4.345581218
HD 203454,320.2558441,40.3440253
HD 20346,49.440777,39.2832968
HD 203475,320.7522316,-22.66904604
HD 203486,320.6541838,-5.633429871
HD 203501,318.3398374,81.23098557
HD 203522,320.6498455,2.918468071
HD 203532,323.4781707,-82.68309734
HD 203548,321.0871606,-46.61476878
HD 203574,320.1389696,60.75632319
HD 203577,320.3717796,48.16761202
HD 20358,49.06376223,-11.98598153
HD 203607,320.9831736,-25.20258766
HD 203630,320.6754404,30.30991873
HD 203639,321.032933,-22.74713598
HD 203644,320.5019977,49.38911899
HD 203784,320.8462027,37.40664615
