DESIGNATION,RA,DEC
SMC07,13,-73
SMC08,14,-73
SMC09,11,-74
SMC10,12,-74
SMC11,13,-74
SMC12,14,-74
LMC01,78,-73
LMC02,79,-72
LMC03,80,-71
LMC04,81,-70
LMC05,82,-69
LMC06,83,-68
LMC07,84,-67
LMC08,79,-73
LMC09,80,-73
LMC10,81,-73
LMC11,82,-73
LMC12,83,-73
LMC13,84,-73
LMC14,78,-72
LMC15,80,-72
LMC16,81,-72
LMC17,82,-72
LMC18,83,-72
LMC19,84,-72
LMC20,78,-71
LMC21,79,-71
LMC22,81,-71
LMC23,82,-71
LMC24,83,-71
LMC25,84,-71
LMC26,78,-70
LMC27,79,-70
LMC28,80,-70
LMC29,82,-70
LMC30,83,-70
LMC31,84,-70
LMC32,78,-69
LMC33,79,-69
LMC34,80,-69
LMC35,81,-69
LMC36,83,-69
LMC37,84,-69
LMC38,78,-68
LMC39,79,-68
LMC40,80,-68
LMC41,81,-68
LMC42,82,-68
LMC43,84,-68
LMC44,78,-67
LMC45,79,-67
LMC46,80,-67
LMC47,81,-67
LMC48,82,-67
LMC49,83,-67
NGC 6304,258.63437,-29.46203 
NGC 6316,259.15592,-28.14000 
M92,259.28079,+43.13594 
M 92,259.28079,+43.13594 
NGC 6341,259.28079,+43.13594 
NGC 6325,259.49696,-23.76603 
M 9,259.79908,-18.51625 
M9,259.79908,-18.51625 
NGC 6333,259.79908,-18.51625
NGC 6342,260.29225,-19.58742  
NGC 6356,260.89579,-17.81303 
NGC 6355,260.99437,-26.35342 
NGC 6352,261.37129,-48.42217 
IC 1257,261.77500,-07.08333 
Terzan 2,261.88850,-30.80217 
NGC 6366,261.93433,-05.07986 
Terzan 4,262.66208,-31.59556 
Dufay 1,262.77167,-29.98167
NGC 6362,262.97912,-67.04833 
Liller 1,263.35208,-33.38889
NGC 6380,263.61667,-39.06917 
Terzan 1,263.94917,-30.46972 
Pismis 26,264.043750,-38.553333
Ton 2,264.043750,-38.553333
NGC 6388,264.072754,-44.735650 
M14,264.40063,-03.24592 
M 14,264.40063,-03.24592 
NGC 6402,264.40063,-03.24592 
NGC 6401,264.65387,-23.90875 
NGC 6397,265.17538,-53.67433 
Palomar 6,265.92583,-26.22250 
NGC 6426,266.22796,+03.17014 
Djorg 1,266.86792,-33.06556 
Terzan 5,267.02083,-24.78000 
NGC 6440,267.21946,-20.35958 
NGC 6441,267.55442,-37.05144 
Terzan 6,267.69333,-31.27528 
NGC 6453,267.71571,-34.59864 
UKS 1,268.61333,-24.14528 
NGC 6496,269.76533,-44.26594 
Terzan 9,270.41167,-26.83972 
Djorg 2,270.45458,-27.82583 
NGC 6517,270.459900,-08.959553 
NGC 6522,270.89200,-30.03397 
Terzan 10,270.73917,-26.06667 
NGC 6535,270.96046,-00.29764 
NGC 6528,271.20671,-30.05578 
NGC 6539,271.20725,-07.58586 
NGC 6540,271.53583,-27.76528 
NGC 6544,271.83575,-24.99733
NGC 6541,272.00983,-43.71489 
2MASS-GC01,272.0908,-19.8297 
ESO 280-SC06,272.275000,-46.423333 
NGC 6553,272.31533,-25.90775 
2MASS-GC02,272.4021,-20.7789 
NGC 6558,272.57658,-31.76350 
Palomar 7,272.68442,-07.20758 
Terzan 12,273.06583,-22.74194 
NGC 6569,273.41200,-31.82644 
AL 3,050.5920683377000,-73.2730790456300 
GLIMPSE-C02,274.6270833,-16.97722222
NGC 6584,274.65667,-52.21578 
NGC 6624,275.91879,-30.36103 
M28,276.13704,-24.86983 
M 28,276.13704,-24.86983 
NGC 6626,276.13704,-24.86983 
NGC 6638,277.73437,-25.49642 
M69,277.84625,-32.34808 
M 69,277.84625,-32.34808 
NGC 6637,277.84625,-32.34808 
NGC 6642,277.97596,-23.47614 
NGC 6652,278.94012,-32.99072 
M22,279.09975,-23.90475 
M 22,279.09975,-23.90475 
NGC 6656,279.09975,-23.90475 
Palomar 8,280.37458,-19.82583 
M70,280.80317,-32.29211 
M 70,280.80317,-32.29211 
NGC 6681,280.80317,-32.29211 
GLIMPSE-C01,282.2070833,-1.497222222
NGC 6712,283.26800,-08.70597 
M54,283.76387,-30.47986 
M 54,283.76387,-30.47986 
NGC 6715,283.76387,-30.47986 
NGC 6717,283.77517,-22.70147 
NGC 6723,284.88812,-36.63225
NGC 6749,286.31400,+01.90000 
NGC 6752,287.71712,-59.98456 
NGC 6760,287.80025,+01.03047 
M56,289.14821,+30.18347 
M 56,289.14821,+30.18347 
NGC 6779,289.14821,+30.18347 
Terzan 7,289.43300,-34.65772 
Palomar 10,289.50875,+18.57167 
Arp 2,292.18379,-30.35564 
M55,294.99879,-30.96475 
M 55,294.99879,-30.96475 
NGC 6809,294.99879,-30.96475 
Terzan 8,295.43504,-33.99947 
Palomar 11,296.31000,-08.00722 
M71,298.44371,+18.77919 
M 71,298.44371,+18.77919 
NGC 6838,298.44371,+18.77919 
M75,301.520171,-21.922261 
M 75,301.520171,-21.922261 
NGC 6864,301.520171,-21.922261 
NGC 6934,308.54737,+07.40447 
M72,313.36542,-12.53731 
M 72,313.36542,-12.53731 
NGC 6981,313.36542,-12.53731 
NGC 7006,315.372771,+16.187914 
M15,322.49304,+12.16700 
M 15,322.49304,+12.16700 
NGC 7078,322.49304,+12.16700 
NGC 7089,323.36258,-00.82325 
M30,325.09217,-23.17986 
M 30,325.09217,-23.17986 
NGC 7099,325.09217,-23.17986 
Palomar 12,326.66183,-21.25261 
Palomar 13,346.68533,+12.77200 
NGC 7492,347.11117,-15.61147 
Westerlund 1,251.76667,-45.85136
Westerlund 2,155.9921,-57.7636
1 Aquarii,309.8541499,0.486386877
1 Aurigae,72.47744757,37.48845374
1 Camelopardis,68.00769055,53.9108209
1 Cancri,119.2475959,15.79008901
1 Canis Minoris,111.2423461,11.66945412
1 Cassiopeiae,346.6534588,59.4197486
1 Ceti,359.5888208,-15.84751896
1 Comae Berenices,180.4342902,22.09424858
1 Crt,159.0692701,-16.34430806
1 CVn,183.6807228,53.43454619
1 Geminorum,91.03001711,23.26294042
1 Hydrae,126.1449479,-3.751357918
1 Lacertae,333.9924535,37.74873483
1 Leporis,75.68773336,-22.79498099
1 LMi,129.5789602,32.80199828
1 Lupi,228.6554528,-31.51911924
1 Lyncis,94.47834229,61.515276
1 Pegasi,320.5221624,19.80478971
1 Piscium,343.7479416,1.064923301
1 Puppis,115.8848749,-28.41075399
1 Sagittae,288.8225042,21.23215081
1 Scorpii,237.7446993,-25.75140491
1 Ser,224.3888136,-0.167729712
1 Vulpeculae,289.0543282,21.39040322
10 Andromedae,349.968683,42.07809786
10 Arietis,30.91456197,25.93553238
10 Bootis,209.662153,21.69601412
10 Cap,306.8300852,-18.21177123
10 Ceti,6.656211358,-0.049525604
10 Crt,167.1829435,-28.08075245
10 Delphini,310.3174896,14.58287642
10 Geminorum,94.72677681,23.60325204
10 Hydrae,131.2553575,5.680566175
10 Lacertae,339.8153179,39.0502452
10 Leonis,144.3025301,6.835782903
10 Leporis,82.78181444,-20.8638458
10 Librae,222.9637158,-18.35533657
10 Ori,74.63709025,1.713984729
10 Puppis,118.0786294,-14.84617647
10 Serpentis,232.1589435,1.841927477
10 Sex,149.1078409,8.933244346
10 Trianguli,34.73750893,28.64267934
10 Ursae Majoris,135.1573579,41.78175608
10 Virginis,182.4223122,1.897091262
10 Vulpeculae,295.9289076,25.7719877
100 Aquarii,352.9251597,-21.3694378
100 Herculis A,271.9564474,26.10143863
100 Herculis B,271.9562159,26.09747487
101 Aquarii,353.3192591,-20.91447111
101 Herculis,272.2203089,20.0451404
101 Piscium,23.9435245,14.66138486
102 Herculis,272.1895398,20.81452788
103 Aquarii,355.3935091,-18.02739121
103 Tauri,77.02759688,24.2651513
104 Aquarii,355.4409268,-17.81652893
104 Piscium,24.81474642,14.28543857
104 Virginis,216.8512836,-6.120614266
105 Herculis,274.7945471,24.44608141
105 Piscium,24.9204609,16.4058001
106 Aquarii,356.0504603,-18.27695874
106 Herculis,275.0747316,21.96103008
106 Tauri,76.95144563,20.41823402
106 Virginis,217.1737386,-6.900772894
107 Herculis,275.2542711,28.87016322
107 Tauri,77.2101719,19.85979558
108 Aquarii,357.8390382,-18.90918165
108 Herculis,275.2373828,29.85915989
108 Tauri,78.86519014,22.28482117
109 Tauri,79.819246,22.09617227
109 Virginis,221.5616693,1.892792877
11 Andromedae,349.8743477,48.62555674
11 Aquilae,284.7739795,13.62168942
11 Arietis,31.70523534,25.70449812
11 Boo,210.2932746,27.38667871
11 Canis Majoris,101.7128734,-14.4259355
11 Canis Minoris,116.567368,10.76813936
11 Cephei,325.4820031,71.31187298
11 Comae Berenices,185.1787633,17.793264
11 Lacertae,340.1291588,44.27635611
11 Leonis,144.5049777,14.34689745
11 Librae,222.7548668,-2.299702753
11 Lyncis,99.40985721,56.85757437
11 Orionis,76.14236865,15.40396418
11 Pegasi,326.8082064,2.686107566
11 Persei,40.76209686,55.10592189
11 Piscium,352.3623799,-1.791313793
11 Sagittae,299.43941,16.78924327
11 Sagittarii,272.9306012,-23.70137403
11 Sco,241.90154,-12.74552253
11 Serpentis,233.2413279,-1.186587943
11 Sex,149.5318659,8.313858535
11 Tauri,55.19300532,25.32941931
11 Trianguli,36.86558602,31.80115559
110 Tauri,80.90700937,16.69920811
110 Virginis,225.7249094,2.091364929
111 Herculis,281.7556053,18.18202771
112 Herculis,283.068414,21.4250968
113 Herculis,283.6870524,22.64508121
113 Tauri,81.52384169,16.70013526
114 Tauri,81.90870368,21.93693386
115 Tauri,81.79209131,17.96212822
116 Tauri,81.94005432,15.8739538
117 Tauri,82.00678238,17.23892696
119 Tauri,83.05313628,18.59421655
12 Andromedae,350.2226674,38.18206215
12 Aquarii,316.0197453,-5.823091718
12 Bootis,212.5996092,25.09141104
12 Canis Majoris,101.756112,-21.01537757
12 Cap A,307.4747591,-18.58354497
12 Cassiopeiae,6.198072457,61.83104574
12 Cephei,326.855307,60.69267851
12 Ceti,7.509868956,-3.957382598
12 Cnc,122.1768697,13.64085328
12 Herculis,243.6759276,7.858223235
12 Leporis,85.55816507,-22.37367203
12 Librae,223.5838164,-24.64233038
12 Lyn,101.558718,59.44163164
12 Lyn B,101.5596773,59.44183823
12 Monocerotis,98.07984813,4.856004211
12 Muscae,174.8728743,-65.3977797
12 Pegasi,326.5182214,22.94886808
12 Per,40.56203541,40.19312297
12 Puppis,119.7737562,-23.31038526
12 Scorpii A,243.0667394,-28.41749525
12 Tauri,54.96284231,3.056905546
12 Trianguli,37.04150283,29.66894665
12 Virginis,183.3576592,10.2623026
120 Phe,26.52515702,-50.81632806
121 Tauri,83.86310517,24.0395178
122 Tauri,84.2657637,17.04017824
125 Tauri,84.93423126,25.89699419
126 Tauri,85.32382731,16.5340693
128 Carinae,139.320557,-68.68977049
129 Tauri,86.6895945,15.82247779
13 Cancri,122.5545383,25.84434186
13 Capricorni,309.3386079,-15.14754771
13 Cassiopeiae,7.855332517,66.51959925
13 Ceti,8.813855158,-3.592920815
13 Del,311.9514244,6.008150171
13 Lacertae,341.0227735,41.81924979
13 Leonis,145.4102612,25.91273368
13 Leonis Minoris,145.6779642,35.09313807
